,falling,staggering,nausea/vomiting,touch head,touch chest,touch back,touch neck,sneeze/cough,standing up,sitting down,walking towards,walking apart,drinking,eating,phone call
falling,265,4,0,0,0,1,0,0,0,5,0,0,0,0,0
staggering,1,267,0,0,0,1,0,1,0,2,4,0,0,0,0
nausea/vomiting,0,1,224,0,34,1,0,12,0,2,0,0,0,1,0
touch head,0,0,1,218,2,1,14,17,0,0,0,0,17,3,3
touch chest,0,2,1,0,258,6,2,2,0,0,0,0,0,3,2
touch back,0,2,2,1,22,244,2,0,0,0,0,0,0,0,3
touch neck,0,0,0,21,6,7,224,1,0,0,0,0,9,3,5
sneeze/cough,0,4,13,15,25,2,14,184,0,0,0,0,6,10,3
standing up,0,2,0,1,5,1,0,0,262,0,0,0,0,0,2
sitting down,1,2,0,0,1,4,0,0,0,265,0,0,0,0,0
walking towards,0,2,0,0,0,0,0,0,1,0,258,12,0,0,0
walking apart,0,6,0,0,0,0,1,0,0,0,16,253,0,0,0
drinking,0,0,0,9,2,3,5,2,0,0,0,0,229,14,10
eating,0,0,0,6,7,1,5,4,0,0,0,0,15,211,26
phone call,0,0,0,5,7,1,7,1,0,0,0,0,10,24,220
